iter	Passed	Remaining
0	159	159397
1	164	81869
2	169	56273
3	175	43766
4	181	36107
5	186	30887
6	192	27321
7	197	24506
8	205	22636
9	211	20907
10	216	19454
11	223	18368
12	228	17362
13	233	16474
14	240	15786
15	245	15089
16	250	14472
17	256	13980
18	261	13496
19	266	13080
20	273	12771
21	279	12428
22	286	12182
23	292	11885
24	297	11599
25	303	11382
26	308	11130
27	313	10899
28	321	10753
29	326	10560
30	335	10483
31	341	10333
32	347	10185
33	355	10111
34	361	9957
35	367	9830
36	372	9702
37	377	9565
38	384	9472
39	389	9347
40	394	9229
41	400	9144
42	406	9049
43	415	9021
44	421	8941
45	426	8845
46	433	8789
47	439	8722
48	446	8663
49	452	8592
50	457	8512
51	464	8463
52	469	8388
53	474	8314
54	481	8268
55	486	8198
56	491	8131
57	497	8085
58	502	8017
59	507	7956
60	515	7929
61	521	7889
62	528	7859
63	534	7819
64	541	7784
65	547	7753
66	553	7705
67	560	7680
68	566	7639
69	571	7591
70	578	7575
71	584	7528
72	589	7486
73	595	7455
74	601	7413
75	607	7385
76	613	7352
77	618	7312
78	624	7282
79	630	7246
80	635	7210
81	641	7182
82	646	7146
83	652	7110
84	658	7088
85	664	7057
86	669	7021
87	675	6997
88	680	6965
89	685	6931
90	691	6906
91	696	6875
92	701	6842
93	707	6821
94	713	6794
95	718	6764
96	724	6747
97	730	6719
98	735	6691
99	741	6670
100	746	6642
101	751	6613
102	757	6594
103	762	6568
104	767	6541
105	773	6523
106	778	6497
107	783	6471
108	789	6452
109	794	6429
110	799	6403
111	805	6387
112	810	6363
113	815	6339
114	823	6336
115	828	6315
116	834	6294
117	839	6275
118	844	6251
119	849	6229
120	856	6220
121	861	6200
122	867	6185
123	873	6167
124	878	6151
125	885	6139
126	890	6121
127	895	6103
128	901	6087
129	906	6068
130	912	6055
131	919	6048
132	926	6037
133	932	6028
134	939	6018
135	945	6006
136	952	6001
137	959	5992
138	965	5982
139	971	5970
140	979	5965
141	987	5969
142	996	5970
143	1004	5971
144	1013	5974
145	1021	5975
146	1031	5982
147	1042	6002
148	1052	6011
149	1060	6011
150	1069	6013
151	1080	6030
152	1088	6027
153	1097	6028
154	1105	6027
155	1114	6028
156	1122	6024
157	1131	6027
158	1138	6023
159	1147	6023
160	1155	6020
161	1164	6021
162	1172	6021
163	1181	6022
164	1189	6017
165	1197	6015
166	1206	6019
167	1215	6018
168	1221	6004
169	1227	5990
170	1232	5974
171	1237	5956
172	1243	5945
173	1248	5929
174	1254	5911
175	1259	5898
176	1265	5882
177	1270	5865
178	1275	5851
179	1280	5834
180	1285	5818
181	1291	5806
182	1297	5790
183	1302	5774
184	1308	5763
185	1313	5748
186	1318	5732
187	1325	5726
188	1330	5711
189	1336	5695
190	1342	5685
191	1348	5674
192	1353	5660
193	1359	5648
194	1364	5633
195	1369	5618
196	1375	5607
197	1380	5593
198	1385	5578
199	1391	5567
200	1397	5553
201	1402	5540
202	1408	5528
203	1413	5514
204	1418	5499
205	1423	5488
206	1429	5476
207	1436	5468
208	1442	5458
209	1447	5444
210	1452	5433
211	1458	5421
212	1463	5408
213	1469	5396
214	1474	5383
215	1479	5369
216	1484	5356
217	1490	5346
218	1495	5333
219	1500	5321
220	1507	5312
221	1512	5299
222	1517	5287
223	1522	5275
224	1527	5262
225	1532	5249
226	1538	5240
227	1543	5227
228	1549	5215
229	1555	5207
230	1560	5195
231	1566	5186
232	1573	5178
233	1580	5173
234	1587	5168
235	1593	5158
236	1599	5149
237	1604	5137
238	1609	5125
239	1617	5120
240	1623	5112
241	1628	5100
242	1634	5090
243	1639	5079
244	1644	5068
245	1651	5061
246	1656	5049
247	1661	5038
248	1667	5030
249	1673	5019
250	1678	5007
251	1684	4999
252	1689	4988
253	1694	4977
254	1700	4968
255	1705	4957
256	1711	4947
257	1717	4938
258	1722	4927
259	1727	4916
260	1733	4907
261	1738	4897
262	1743	4885
263	1749	4877
264	1754	4866
265	1759	4855
266	1766	4848
267	1771	4838
268	1776	4827
269	1782	4818
270	1787	4808
271	1792	4798
272	1799	4791
273	1804	4782
274	1810	4773
275	1815	4763
276	1820	4752
277	1826	4744
278	1834	4740
279	1839	4730
280	1846	4724
281	1851	4715
282	1857	4706
283	1864	4699
284	1869	4690
285	1876	4685
286	1883	4679
287	1891	4675
288	1898	4670
289	1905	4664
290	1912	4660
291	1919	4653
292	1926	4647
293	1932	4641
294	1939	4634
295	1946	4628
296	1952	4621
297	1959	4615
298	1965	4607
299	1971	4600
300	1979	4596
301	1985	4589
302	1994	4587
303	2000	4579
304	2007	4573
305	2013	4567
306	2020	4560
307	2027	4554
308	2033	4546
309	2039	4540
310	2045	4532
311	2050	4522
312	2059	4521
313	2066	4515
314	2073	4509
315	2079	4500
316	2084	4491
317	2091	4484
318	2096	4475
319	2101	4465
320	2107	4458
321	2112	4448
322	2117	4439
323	2123	4431
324	2128	4421
325	2133	4411
326	2139	4403
327	2144	4394
328	2149	4384
329	2155	4376
330	2160	4367
331	2165	4357
332	2172	4350
333	2177	4341
334	2182	4332
335	2189	4327
336	2194	4318
337	2200	4309
338	2206	4301
339	2211	4293
340	2217	4285
341	2224	4279
342	2229	4270
343	2235	4263
344	2241	4254
345	2246	4245
346	2252	4238
347	2257	4229
348	2262	4219
349	2267	4211
350	2273	4203
351	2278	4194
352	2284	4187
353	2290	4179
354	2296	4171
355	2302	4165
356	2307	4156
357	2313	4148
358	2319	4141
359	2324	4132
360	2330	4124
361	2335	4116
362	2340	4107
363	2345	4098
364	2351	4090
365	2356	4082
366	2361	4073
367	2367	4066
368	2372	4057
369	2377	4048
370	2383	4041
